node,activity_count,retweet_ratio,mention_ratio,reply_ratio,activity_span,is_active
500,0,0.0,0.0,0.0,0,0
501,2,0.0,1.0,0.0,38856,1
502,8,0.125,0.75,0.125,259713,1
503,3,0.3333333333333333,0.6666666666666666,0.0,455,1
504,0,0.0,0.0,0.0,0,0
508,0,0.0,0.0,0.0,0,0
509,3,0.0,1.0,0.0,194,1
511,59,0.22033898305084745,0.7457627118644068,0.03389830508474576,286423,1
515,3,1.0,0.0,0.0,132110,1
517,1,1.0,0.0,0.0,0,1
519,2,1.0,0.0,0.0,10,1
520,0,0.0,0.0,0.0,0,0
523,0,0.0,0.0,0.0,0,0
524,1,0.0,1.0,0.0,0,1
529,3,0.6666666666666666,0.3333333333333333,0.0,1686,1
531,12,0.8333333333333334,0.16666666666666666,0.0,475441,1
533,1,0.0,1.0,0.0,0,1
536,5,1.0,0.0,0.0,33090,1
537,2,0.0,1.0,0.0,0,1
541,7,0.7142857142857143,0.2857142857142857,0.0,314844,1
542,5,0.4,0.6,0.0,13917,1
543,2,0.5,0.5,0.0,0,1
547,3,0.0,0.6666666666666666,0.3333333333333333,10896,1
548,2,0.0,0.5,0.5,0,1
549,3,0.0,0.6666666666666666,0.3333333333333333,0,1
550,11,0.36363636363636365,0.6363636363636364,0.0,162901,1
554,0,0.0,0.0,0.0,0,0
555,3,0.6666666666666666,0.3333333333333333,0.0,31238,1
557,0,0.0,0.0,0.0,0,0
561,1,1.0,0.0,0.0,0,1
563,0,0.0,0.0,0.0,0,0
565,1,1.0,0.0,0.0,0,1
572,0,0.0,0.0,0.0,0,0
577,0,0.0,0.0,0.0,0,0
580,10,0.2,0.7,0.1,239169,1
581,0,0.0,0.0,0.0,0,0
582,0,0.0,0.0,0.0,0,0
600,1,1.0,0.0,0.0,0,1
602,0,0.0,0.0,0.0,0,0
604,0,0.0,0.0,0.0,0,0
606,0,0.0,0.0,0.0,0,0
608,4,0.0,0.75,0.25,174551,1
623,0,0.0,0.0,0.0,0,0
634,1,1.0,0.0,0.0,0,1
635,2,1.0,0.0,0.0,23248,1
639,3,1.0,0.0,0.0,41695,1
645,0,0.0,0.0,0.0,0,0
659,2,0.5,0.5,0.0,89692,1
670,7,0.42857142857142855,0.42857142857142855,0.14285714285714285,111422,1
673,5,0.0,0.8,0.2,444,1
674,0,0.0,0.0,0.0,0,0
676,0,0.0,0.0,0.0,0,0
677,33,0.3333333333333333,0.45454545454545453,0.21212121212121213,395321,1
679,0,0.0,0.0,0.0,0,0
689,2,1.0,0.0,0.0,120657,1
691,1,1.0,0.0,0.0,0,1
693,1,1.0,0.0,0.0,0,1
697,2,0.0,0.5,0.5,0,1
698,7,0.14285714285714285,0.5714285714285714,0.2857142857142857,133868,1
707,0,0.0,0.0,0.0,0,0
709,1,1.0,0.0,0.0,0,1
715,0,0.0,0.0,0.0,0,0
716,0,0.0,0.0,0.0,0,0
720,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,27,1
721,0,0.0,0.0,0.0,0,0
732,1,1.0,0.0,0.0,0,1
735,4,0.0,0.75,0.25,49,1
738,5,0.8,0.2,0.0,18423,1
739,0,0.0,0.0,0.0,0,0
745,1,1.0,0.0,0.0,0,1
747,1,1.0,0.0,0.0,0,1
750,0,0.0,0.0,0.0,0,0
756,0,0.0,0.0,0.0,0,0
759,3,0.3333333333333333,0.6666666666666666,0.0,21444,1
761,1,1.0,0.0,0.0,0,1
762,4,0.25,0.75,0.0,257985,1
765,0,0.0,0.0,0.0,0,0
768,0,0.0,0.0,0.0,0,0
790,0,0.0,0.0,0.0,0,0
792,4,0.0,1.0,0.0,17731,1
798,2,0.5,0.5,0.0,0,1
799,5,0.2,0.6,0.2,8465,1
805,4,0.0,1.0,0.0,56824,1
806,2,0.5,0.5,0.0,91713,1
816,6,0.0,0.8333333333333334,0.16666666666666666,4352,1
817,0,0.0,0.0,0.0,0,0
818,1,1.0,0.0,0.0,0,1
821,6,0.3333333333333333,0.5,0.16666666666666666,268466,1
822,3,0.0,0.6666666666666666,0.3333333333333333,134702,1
824,0,0.0,0.0,0.0,0,0
828,0,0.0,0.0,0.0,0,0
830,0,0.0,0.0,0.0,0,0
832,8,0.75,0.25,0.0,407756,1
847,1,1.0,0.0,0.0,0,1
855,2,0.0,1.0,0.0,81668,1
857,0,0.0,0.0,0.0,0,0
863,0,0.0,0.0,0.0,0,0
867,0,0.0,0.0,0.0,0,0
868,0,0.0,0.0,0.0,0,0
870,2,0.0,0.5,0.5,0,1
871,0,0.0,0.0,0.0,0,0
875,1,0.0,1.0,0.0,0,1
879,0,0.0,0.0,0.0,0,0
885,5,0.4,0.6,0.0,457865,1
889,2,0.0,1.0,0.0,0,1
891,0,0.0,0.0,0.0,0,0
901,1,1.0,0.0,0.0,0,1
915,1,1.0,0.0,0.0,0,1
919,4,0.25,0.5,0.25,501,1
920,1,0.0,1.0,0.0,0,1
923,2,1.0,0.0,0.0,2093,1
932,1,1.0,0.0,0.0,0,1
943,0,0.0,0.0,0.0,0,0
946,0,0.0,0.0,0.0,0,0
951,0,0.0,0.0,0.0,0,0
956,1,1.0,0.0,0.0,0,1
957,1,0.0,1.0,0.0,0,1
960,0,0.0,0.0,0.0,0,0
965,0,0.0,0.0,0.0,0,0
970,2,0.0,0.5,0.5,0,1
972,1,1.0,0.0,0.0,0,1
976,1,0.0,1.0,0.0,0,1
979,0,0.0,0.0,0.0,0,0
980,0,0.0,0.0,0.0,0,0
981,0,0.0,0.0,0.0,0,0
983,1,1.0,0.0,0.0,0,1
984,1,0.0,1.0,0.0,0,1
985,0,0.0,0.0,0.0,0,0
987,0,0.0,0.0,0.0,0,0
989,2,0.0,1.0,0.0,0,1
990,0,0.0,0.0,0.0,0,0
992,0,0.0,0.0,0.0,0,0
994,7,0.5714285714285714,0.42857142857142855,0.0,245617,1
995,4,0.5,0.25,0.25,225677,1
996,4,0.75,0.25,0.0,2011,1
998,0,0.0,0.0,0.0,0,0
999,2,0.0,1.0,0.0,47866,1
1002,1,1.0,0.0,0.0,0,1
1009,1,1.0,0.0,0.0,0,1
1010,2,0.0,1.0,0.0,108600,1
1014,1,1.0,0.0,0.0,0,1
1016,6,0.8333333333333334,0.16666666666666666,0.0,287819,1
1024,0,0.0,0.0,0.0,0,0
1026,2,1.0,0.0,0.0,67903,1
1031,0,0.0,0.0,0.0,0,0
1035,2,0.0,1.0,0.0,30,1
1037,2,1.0,0.0,0.0,155718,1
1040,1,1.0,0.0,0.0,0,1
1042,1,0.0,1.0,0.0,0,1
1043,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,177304,1
1053,0,0.0,0.0,0.0,0,0
1057,0,0.0,0.0,0.0,0,0
1059,0,0.0,0.0,0.0,0,0
1062,0,0.0,0.0,0.0,0,0
1069,1,1.0,0.0,0.0,0,1
1076,0,0.0,0.0,0.0,0,0
1084,1,0.0,1.0,0.0,0,1
1087,6,0.0,0.8333333333333334,0.16666666666666666,11119,1
1091,0,0.0,0.0,0.0,0,0
1093,0,0.0,0.0,0.0,0,0
1104,4,0.0,1.0,0.0,45128,1
1120,0,0.0,0.0,0.0,0,0
1122,1,1.0,0.0,0.0,0,1
1131,0,0.0,0.0,0.0,0,0
1135,1,1.0,0.0,0.0,0,1
1142,5,0.2,0.8,0.0,311641,1
1146,0,0.0,0.0,0.0,0,0
1154,0,0.0,0.0,0.0,0,0
1161,1,0.0,1.0,0.0,0,1
1163,0,0.0,0.0,0.0,0,0
1164,0,0.0,0.0,0.0,0,0
1168,0,0.0,0.0,0.0,0,0
1173,0,0.0,0.0,0.0,0,0
1206,0,0.0,0.0,0.0,0,0
1221,0,0.0,0.0,0.0,0,0
1225,1,1.0,0.0,0.0,0,1
1228,1,1.0,0.0,0.0,0,1
1229,2,0.0,1.0,0.0,139,1
1240,4,0.5,0.5,0.0,90603,1
1247,1,1.0,0.0,0.0,0,1
1252,0,0.0,0.0,0.0,0,0
1267,2,0.0,1.0,0.0,96235,1
1270,20,0.3,0.55,0.15,35406,1
1274,0,0.0,0.0,0.0,0,0
1276,145,0.22758620689655173,0.7586206896551724,0.013793103448275862,188238,1
1284,0,0.0,0.0,0.0,0,0
1286,1,1.0,0.0,0.0,0,1
1291,0,0.0,0.0,0.0,0,0
1292,0,0.0,0.0,0.0,0,0
1298,3,1.0,0.0,0.0,3581,1
1308,6,0.16666666666666666,0.5,0.3333333333333333,25886,1
1313,1,0.0,1.0,0.0,0,1
1315,2,0.5,0.5,0.0,0,1
1317,0,0.0,0.0,0.0,0,0
1319,1,1.0,0.0,0.0,0,1
1321,0,0.0,0.0,0.0,0,0
1332,0,0.0,0.0,0.0,0,0
1333,0,0.0,0.0,0.0,0,0
1335,0,0.0,0.0,0.0,0,0
1336,2,0.0,0.5,0.5,0,1
1337,1,0.0,1.0,0.0,0,1
1338,3,0.6666666666666666,0.3333333333333333,0.0,2578,1
1343,0,0.0,0.0,0.0,0,0
1344,2,0.5,0.5,0.0,0,1
1348,1,1.0,0.0,0.0,0,1
1350,3,1.0,0.0,0.0,34694,1
1355,1,1.0,0.0,0.0,0,1
1357,4,0.25,0.75,0.0,191036,1
1367,0,0.0,0.0,0.0,0,0
1375,1,1.0,0.0,0.0,0,1
1382,9,0.5555555555555556,0.4444444444444444,0.0,206940,1
1390,4,0.5,0.5,0.0,45228,1
1415,2,0.0,0.5,0.5,0,1
1416,0,0.0,0.0,0.0,0,0
1426,2,0.0,0.5,0.5,0,1
1431,1,0.0,1.0,0.0,0,1
1435,0,0.0,0.0,0.0,0,0
1443,1,1.0,0.0,0.0,0,1
1445,4,0.25,0.75,0.0,41545,1
1447,4,0.75,0.25,0.0,66796,1
1450,0,0.0,0.0,0.0,0,0
1453,9,0.2222222222222222,0.5555555555555556,0.2222222222222222,15761,1
1458,3,0.0,0.6666666666666666,0.3333333333333333,8989,1
1459,0,0.0,0.0,0.0,0,0
1468,2,0.5,0.5,0.0,27406,1
1469,1,0.0,1.0,0.0,0,1
1474,1,1.0,0.0,0.0,0,1
1478,2,0.0,0.5,0.5,0,1
1481,3,0.0,0.6666666666666666,0.3333333333333333,151,1
1483,4,0.5,0.5,0.0,41005,1
1486,1,0.0,1.0,0.0,0,1
1503,0,0.0,0.0,0.0,0,0
1520,1,1.0,0.0,0.0,0,1
1521,3,0.6666666666666666,0.3333333333333333,0.0,4499,1
1525,3,0.3333333333333333,0.6666666666666666,0.0,0,1
1526,1,1.0,0.0,0.0,0,1
1532,1,1.0,0.0,0.0,0,1
1534,0,0.0,0.0,0.0,0,0
1538,2,0.0,1.0,0.0,41,1
1543,1,1.0,0.0,0.0,0,1
1544,6,0.16666666666666666,0.5,0.3333333333333333,155122,1
1548,0,0.0,0.0,0.0,0,0
1553,0,0.0,0.0,0.0,0,0
1554,2,0.0,0.5,0.5,0,1
1564,1,0.0,1.0,0.0,0,1
1572,2,1.0,0.0,0.0,246500,1
1574,2,0.5,0.5,0.0,0,1
1577,0,0.0,0.0,0.0,0,0
1583,1,0.0,1.0,0.0,0,1
1599,1,0.0,1.0,0.0,0,1
1605,0,0.0,0.0,0.0,0,0
1612,2,0.5,0.5,0.0,0,1
1621,2,0.0,0.5,0.5,0,1
1641,1,0.0,1.0,0.0,0,1
1651,1,1.0,0.0,0.0,0,1
1672,3,0.6666666666666666,0.3333333333333333,0.0,12611,1
1683,0,0.0,0.0,0.0,0,0
1686,1,1.0,0.0,0.0,0,1
1703,4,0.75,0.25,0.0,127518,1
1711,4,1.0,0.0,0.0,225840,1
1720,3,1.0,0.0,0.0,2790,1
1759,1,0.0,1.0,0.0,0,1
1764,0,0.0,0.0,0.0,0,0
1765,0,0.0,0.0,0.0,0,0
1772,0,0.0,0.0,0.0,0,0
1774,2,1.0,0.0,0.0,132482,1
1785,0,0.0,0.0,0.0,0,0
1790,0,0.0,0.0,0.0,0,0
1793,1,1.0,0.0,0.0,0,1
1805,3,0.0,0.6666666666666666,0.3333333333333333,227077,1
1811,0,0.0,0.0,0.0,0,0
1814,0,0.0,0.0,0.0,0,0
1818,0,0.0,0.0,0.0,0,0
1834,0,0.0,0.0,0.0,0,0
1837,0,0.0,0.0,0.0,0,0
1842,1,1.0,0.0,0.0,0,1
1852,0,0.0,0.0,0.0,0,0
1854,0,0.0,0.0,0.0,0,0
1856,1,1.0,0.0,0.0,0,1
1858,0,0.0,0.0,0.0,0,0
1872,1,1.0,0.0,0.0,0,1
1875,1,1.0,0.0,0.0,0,1
1877,0,0.0,0.0,0.0,0,0
1880,7,0.0,1.0,0.0,19408,1
1881,0,0.0,0.0,0.0,0,0
1882,1,1.0,0.0,0.0,0,1
1884,0,0.0,0.0,0.0,0,0
1896,4,0.0,1.0,0.0,40363,1
1904,0,0.0,0.0,0.0,0,0
1918,0,0.0,0.0,0.0,0,0
1928,0,0.0,0.0,0.0,0,0
1941,0,0.0,0.0,0.0,0,0
1945,2,0.5,0.5,0.0,59258,1
1946,1,1.0,0.0,0.0,0,1
1952,0,0.0,0.0,0.0,0,0
1959,0,0.0,0.0,0.0,0,0
1960,1,1.0,0.0,0.0,0,1
1961,1,0.0,1.0,0.0,0,1
1966,1,1.0,0.0,0.0,0,1
1967,0,0.0,0.0,0.0,0,0
1969,0,0.0,0.0,0.0,0,0
1970,1,1.0,0.0,0.0,0,1
1971,0,0.0,0.0,0.0,0,0
1980,3,0.0,0.6666666666666666,0.3333333333333333,92962,1
1981,1,1.0,0.0,0.0,0,1
1982,2,1.0,0.0,0.0,215011,1
1984,7,0.2857142857142857,0.5714285714285714,0.14285714285714285,172768,1
1988,4,0.5,0.5,0.0,5247,1
1997,3,0.3333333333333333,0.6666666666666666,0.0,220881,1
1999,9,0.0,1.0,0.0,196960,1
2003,1,1.0,0.0,0.0,0,1
2010,0,0.0,0.0,0.0,0,0
2011,2,0.0,1.0,0.0,0,1
2018,1,1.0,0.0,0.0,0,1
2024,1,1.0,0.0,0.0,0,1
2029,1,0.0,1.0,0.0,0,1
2031,0,0.0,0.0,0.0,0,0
2033,1,0.0,1.0,0.0,0,1
2035,0,0.0,0.0,0.0,0,0
2036,3,0.6666666666666666,0.3333333333333333,0.0,83466,1
2037,5,0.0,1.0,0.0,202713,1
2040,0,0.0,0.0,0.0,0,0
2042,0,0.0,0.0,0.0,0,0
2045,2,0.0,1.0,0.0,101939,1
2048,0,0.0,0.0,0.0,0,0
2050,0,0.0,0.0,0.0,0,0
2052,0,0.0,0.0,0.0,0,0
2055,0,0.0,0.0,0.0,0,0
2058,0,0.0,0.0,0.0,0,0
2060,11,0.0,0.9090909090909091,0.09090909090909091,270164,1
2071,1,1.0,0.0,0.0,0,1
2077,0,0.0,0.0,0.0,0,0
2085,2,1.0,0.0,0.0,18,1
2127,0,0.0,0.0,0.0,0,0
2138,1,1.0,0.0,0.0,0,1
2139,1,1.0,0.0,0.0,0,1
2140,0,0.0,0.0,0.0,0,0
2144,2,0.0,0.5,0.5,0,1
2153,2,0.0,1.0,0.0,0,1
2156,0,0.0,0.0,0.0,0,0
2157,20,0.25,0.7,0.05,172904,1
2158,0,0.0,0.0,0.0,0,0
2160,1,0.0,1.0,0.0,0,1
2161,1,0.0,1.0,0.0,0,1
2164,1,0.0,1.0,0.0,0,1
2165,8,0.5,0.25,0.25,98639,1
2166,9,0.4444444444444444,0.5555555555555556,0.0,31320,1
2168,0,0.0,0.0,0.0,0,0
2172,2,0.0,1.0,0.0,0,1
2177,20,0.3,0.65,0.05,321025,1
2179,4,0.0,0.5,0.5,12589,1
2182,1,0.0,1.0,0.0,0,1
2185,0,0.0,0.0,0.0,0,0
2186,1,1.0,0.0,0.0,0,1
2187,7,0.7142857142857143,0.2857142857142857,0.0,200112,1
2193,3,0.3333333333333333,0.6666666666666666,0.0,1089,1
2194,0,0.0,0.0,0.0,0,0
2198,2,0.0,0.5,0.5,0,1
2199,1,1.0,0.0,0.0,0,1
2218,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,5879,1
2228,1,1.0,0.0,0.0,0,1
2232,0,0.0,0.0,0.0,0,0
2233,0,0.0,0.0,0.0,0,0
2239,0,0.0,0.0,0.0,0,0
2241,0,0.0,0.0,0.0,0,0
2243,0,0.0,0.0,0.0,0,0
2244,0,0.0,0.0,0.0,0,0
2249,2,0.0,0.5,0.5,0,1
2255,3,0.3333333333333333,0.6666666666666666,0.0,154243,1
2256,1,1.0,0.0,0.0,0,1
2266,0,0.0,0.0,0.0,0,0
2271,0,0.0,0.0,0.0,0,0
2272,0,0.0,0.0,0.0,0,0
2274,0,0.0,0.0,0.0,0,0
2277,1,1.0,0.0,0.0,0,1
2278,1,1.0,0.0,0.0,0,1
2285,2,0.5,0.5,0.0,0,1
2286,0,0.0,0.0,0.0,0,0
2288,0,0.0,0.0,0.0,0,0
2290,1,0.0,1.0,0.0,0,1
2299,0,0.0,0.0,0.0,0,0
2306,2,0.5,0.5,0.0,0,1
2314,0,0.0,0.0,0.0,0,0
2316,2,0.0,0.5,0.5,0,1
2342,7,0.2857142857142857,0.7142857142857143,0.0,201835,1
2343,0,0.0,0.0,0.0,0,0
2347,0,0.0,0.0,0.0,0,0
2349,0,0.0,0.0,0.0,0,0
2350,2,0.0,0.5,0.5,0,1
2351,4,0.0,1.0,0.0,151851,1
2353,0,0.0,0.0,0.0,0,0
2357,0,0.0,0.0,0.0,0,0
2360,0,0.0,0.0,0.0,0,0
2361,1,1.0,0.0,0.0,0,1
2368,0,0.0,0.0,0.0,0,0
2370,1,1.0,0.0,0.0,0,1
2372,0,0.0,0.0,0.0,0,0
2373,26,0.46153846153846156,0.4230769230769231,0.11538461538461539,291398,1
2376,0,0.0,0.0,0.0,0,0
2383,0,0.0,0.0,0.0,0,0
2397,0,0.0,0.0,0.0,0,0
2399,2,0.0,0.5,0.5,0,1
2402,15,0.06666666666666667,0.4666666666666667,0.4666666666666667,112481,1
2404,0,0.0,0.0,0.0,0,0
2406,0,0.0,0.0,0.0,0,0
2416,0,0.0,0.0,0.0,0,0
2417,7,0.14285714285714285,0.8571428571428571,0.0,204291,1
2420,0,0.0,0.0,0.0,0,0
2426,2,1.0,0.0,0.0,267676,1
2427,1,0.0,1.0,0.0,0,1
2428,0,0.0,0.0,0.0,0,0
2450,1,1.0,0.0,0.0,0,1
2456,0,0.0,0.0,0.0,0,0
2462,0,0.0,0.0,0.0,0,0
2469,6,0.8333333333333334,0.16666666666666666,0.0,90276,1
2474,0,0.0,0.0,0.0,0,0
2487,0,0.0,0.0,0.0,0,0
2490,1,1.0,0.0,0.0,0,1
2515,0,0.0,0.0,0.0,0,0
2518,1,1.0,0.0,0.0,0,1
2538,0,0.0,0.0,0.0,0,0
2543,0,0.0,0.0,0.0,0,0
2553,5,0.4,0.6,0.0,84765,1
2556,6,0.5,0.3333333333333333,0.16666666666666666,62451,1
2567,4,0.5,0.25,0.25,292164,1
2568,0,0.0,0.0,0.0,0,0
2572,0,0.0,0.0,0.0,0,0
2629,0,0.0,0.0,0.0,0,0
2633,0,0.0,0.0,0.0,0,0
2634,2,0.5,0.5,0.0,772,1
2647,8,0.625,0.375,0.0,213463,1
2656,0,0.0,0.0,0.0,0,0
2662,9,0.4444444444444444,0.5555555555555556,0.0,113987,1
2665,2,0.5,0.5,0.0,0,1
2668,0,0.0,0.0,0.0,0,0
2669,0,0.0,0.0,0.0,0,0
2670,1,1.0,0.0,0.0,0,1
2679,0,0.0,0.0,0.0,0,0
2680,0,0.0,0.0,0.0,0,0
2687,0,0.0,0.0,0.0,0,0
2689,1,0.0,1.0,0.0,0,1
2690,1,0.0,1.0,0.0,0,1
2692,0,0.0,0.0,0.0,0,0
2694,0,0.0,0.0,0.0,0,0
2695,0,0.0,0.0,0.0,0,0
2697,0,0.0,0.0,0.0,0,0
2698,0,0.0,0.0,0.0,0,0
2700,0,0.0,0.0,0.0,0,0
2703,0,0.0,0.0,0.0,0,0
