node,in_degree,out_degree,degree,clustering
498,63,82,145,0.30538736221083684
500,57,134,191,0.2664459723283253
501,90,211,301,0.25296803652968036
502,300,320,620,0.133603977120043
503,442,149,591,0.0848381404706542
504,41,13,54,0.1191553544494721
508,55,32,87,0.19296066252587993
509,15,1,16,0.08333333333333333
511,309,151,460,0.15160349854227406
515,139,36,175,0.12779503105590062
517,92,14,106,0.1251959686450168
519,401,178,579,0.11579221994314297
520,128,29,157,0.16655274550011392
523,103,51,154,0.16360454943132108
524,6,14,20,0.325
529,410,257,667,0.126073542900025
531,94,9,103,0.06059330948874395
533,167,95,262,0.17189705271897052
536,30,92,122,0.11336996336996337
537,21,41,62,0.15974025974025974
541,21,36,57,0.24081632653061225
542,194,113,307,0.197709801409353
543,54,43,97,0.21598589479870703
547,99,66,165,0.13388429752066117
548,189,15,204,0.1684968403605097
549,44,27,71,0.2726775956284153
550,132,59,191,0.1407142857142857
554,214,168,382,0.1650666144200627
555,82,35,117,0.1854341736694678
557,85,85,170,0.22677627715795654
561,70,82,152,0.2746626686656672
563,38,49,87,0.10641821946169772
565,59,44,103,0.2430208639435792
572,162,32,194,0.08344155844155844
577,83,11,94,0.14211076280041798
580,46,62,108,0.36674685912857524
581,138,141,279,0.1572623900450547
582,26,7,33,0.12473118279569892
600,92,10,102,0.0925438596491228
602,68,17,85,0.12442922374429223
604,25,10,35,0.2276923076923077
606,44,10,54,0.20244897959183675
608,108,170,278,0.18617544487168022
623,80,12,92,0.15597711532670883
634,12,36,48,0.4089068825910931
635,14,41,55,0.14009661835748793
639,29,31,60,0.22931785195936139
645,28,39,67,0.16478696741854637
659,56,11,67,0.21294615849969753
670,58,46,104,0.2566510172143975
673,66,92,158,0.11542070691273068
674,101,23,124,0.1401222651222651
676,57,11,68,0.09519230769230769
677,786,25,811,0.04639619643190313
679,569,99,668,0.10089350902200744
689,621,41,662,0.08329154045216554
691,9,47,56,0.16979591836734695
693,13,7,20,0.17894736842105263
697,15,35,50,0.21775898520084566
698,46,48,94,0.24615384615384617
707,10,65,75,0.14125874125874127
709,17,8,25,0.28421052631578947
715,17,10,27,0.22529644268774704
716,34,9,43,0.1207897793263647
720,51,20,71,0.20508166969147004
721,182,29,211,0.17955359603196472
732,25,17,42,0.1984126984126984
735,54,17,71,0.14592933947772657
738,16,77,93,0.13956507627393702
739,50,5,55,0.18693877551020407
745,35,88,123,0.18878865979381443
747,19,140,159,0.12616550116550115
750,422,48,470,0.05054269099153948
756,111,21,132,0.09192237083661159
759,288,11,299,0.04327662437524029
761,14,11,25,0.19047619047619047
762,136,4,140,0.07361067667605047
765,57,1,58,0.1119177253478524
768,118,12,130,0.04325068870523416
790,7,1,8,0.2857142857142857
792,41,65,106,0.1646586345381526
798,2,16,18,0.3235294117647059
799,23,1,24,0.14492753623188406
805,51,50,101,0.17703081232492998
806,64,5,69,0.05834464043419267
816,241,18,259,0.060629615235134084
817,52,15,67,0.11623376623376623
818,241,64,305,0.10223408151519908
821,51,16,67,0.12799532437171246
822,61,16,77,0.12540792540792542
824,10,3,13,0.2
828,159,10,169,0.0498371582216163
830,3,34,37,0.2134453781512605
832,198,57,255,0.19045289633524928
847,103,16,119,0.08397683397683398
855,40,29,69,0.1253305129561079
857,189,20,209,0.03955375253549696
863,22,23,45,0.3058321479374111
867,77,31,108,0.18283189564485589
868,40,31,71,0.15918367346938775
870,102,73,175,0.22262596899224807
871,15,22,37,0.2671957671957672
875,117,29,146,0.09744094488188976
879,60,25,85,0.24104627766599598
885,68,50,118,0.1326877336051648
889,48,27,75,0.2641509433962264
891,186,4,190,0.03962625239220984
901,175,145,320,0.1159152739992227
915,75,50,125,0.23524752475247523
919,55,35,90,0.14846846846846848
920,317,177,494,0.14415515474735505
923,17,34,51,0.1402439024390244
932,3,5,8,0.4
943,30,96,126,0.20034767492394612
946,49,27,76,0.12727272727272726
951,40,34,74,0.24065540194572452
956,266,12,278,0.05614322809894766
957,132,29,161,0.058726220016542596
960,416,33,449,0.07260977630488816
965,382,65,447,0.052083452284432064
970,1,1,2,0.0
972,178,129,307,0.11181354460603429
976,6,5,11,0.3333333333333333
979,512,1,513,0.01842714424951267
980,116,39,155,0.11525054466230937
981,10,1,11,0.23636363636363636
983,92,13,105,0.03371993127147766
984,75,72,147,0.28350824587706147
985,16,54,70,0.19143310417768378
987,257,15,272,0.08248918816939019
989,63,88,151,0.26046831955922867
990,23,110,133,0.21906536252134762
992,91,33,124,0.1668136131193793
994,179,107,286,0.1284488754926965
995,142,167,309,0.1581811379791178
996,105,63,168,0.1760629081700653
998,250,77,327,0.11474691214770119
999,48,27,75,0.23758320532514082
1002,28,34,62,0.26693877551020406
1009,57,16,73,0.25081967213114753
1010,24,74,98,0.21245421245421245
1014,50,21,71,0.11202185792349727
1016,57,91,148,0.21049304677623262
1024,23,92,115,0.26515671471059254
1026,39,52,91,0.3533199195171026
1031,62,9,71,0.10266847580280417
1035,67,131,198,0.25834193326453386
1037,112,15,127,0.05791505791505792
1040,46,64,110,0.2441962973846606
1042,141,2,143,0.11750221609376539
1043,67,131,198,0.19668042655658755
1053,65,65,130,0.2224242424242424
1057,44,16,60,0.2487770789657582
1059,35,43,78,0.16010928961748633
1062,1021,38,1059,0.042324331925322464
1069,23,60,83,0.3274536408864767
1076,11,42,53,0.2988235294117647
1084,34,48,82,0.27235534774985387
1087,53,30,83,0.22431077694235588
1091,4,22,26,0.3333333333333333
1093,69,17,86,0.2802665679378008
1104,93,158,251,0.12431408918772703
1120,13,20,33,0.2246376811594203
1122,19,113,132,0.19413189004415327
1131,12,46,58,0.20470588235294118
1135,4,14,18,0.10294117647058823
1142,27,37,64,0.1926530612244898
1146,9,54,63,0.23027469316189364
1154,40,70,110,0.19356486210418794
1161,5,38,43,0.27125506072874495
1163,30,28,58,0.1452358926919519
1164,5,8,13,0.1111111111111111
1168,37,99,136,0.25365782992901637
1173,12,11,23,0.21637426900584794
1206,14,17,31,0.22153846153846155
1221,40,18,58,0.3878787878787879
1225,18,96,114,0.22491058278981696
1228,42,66,108,0.16893878642074311
1229,72,102,174,0.19355742296918768
1240,31,46,77,0.11475409836065574
1247,323,79,402,0.11089361702127659
1252,25,7,32,0.1623931623931624
1267,317,18,335,0.038886574211852466
1270,36,24,60,0.1400709219858156
1274,560,64,624,0.05316956736859847
1276,462,63,525,0.07834372834372834
1284,259,6,265,0.06872973769525494
1286,214,68,282,0.15595114644544303
1291,93,12,105,0.13555555555555557
1292,182,64,246,0.12775217613927292
1298,97,72,169,0.14265882737220317
1308,27,17,44,0.18018018018018017
1313,10,30,40,0.16358463726884778
1315,92,16,108,0.16316035530621786
1317,59,41,100,0.19853709508881923
1319,31,47,78,0.293395675043834
1321,133,54,187,0.15310212617636806
1332,48,123,171,0.15003927729772193
1333,37,38,75,0.19593613933236576
1335,24,36,60,0.20918367346938777
1336,22,11,33,0.20689655172413793
1337,21,85,106,0.2761381834820407
1338,22,10,32,0.2962962962962963
1343,61,85,146,0.12470495672698663
1344,50,117,167,0.16696481812760883
1348,51,34,85,0.2111756168359942
1350,24,35,59,0.3627311522048364
1355,46,38,84,0.25191256830601094
1357,200,16,216,0.06677071648051505
1367,22,15,37,0.21957671957671956
1375,2,6,8,0.047619047619047616
1382,10,19,29,0.20652173913043478
1390,9,11,20,0.22857142857142856
1415,15,2,17,0.0
1416,145,17,162,0.05554083885209713
1426,166,0,166,0.047024461482292806
1431,65,12,77,0.1354642313546423
1435,28,46,74,0.24519774011299436
1443,119,14,133,0.17111502506435441
1445,84,169,253,0.140893470790378
1447,44,19,63,0.1676342525399129
1450,57,173,230,0.17186864283638478
1453,17,47,64,0.31020408163265306
1458,57,273,330,0.13485272961308398
1459,108,10,118,0.1042535446205171
1468,136,82,218,0.22891251307075636
1469,25,47,72,0.19674185463659147
1474,32,107,139,0.2316930775646372
1478,184,102,286,0.18708751793400286
1481,41,42,83,0.2857142857142857
1483,131,78,209,0.18832224685883223
1486,25,106,131,0.23958020989505247
1503,1028,2,1030,0.03335808652756887
1520,8,47,55,0.1799645390070922
1521,20,11,31,0.33666666666666667
1525,75,13,88,0.08225108225108226
1526,29,16,45,0.38850574712643676
1532,23,38,61,0.2719703977798335
1534,47,17,64,0.24310776942355888
1538,7,6,13,0.2222222222222222
1543,51,52,103,0.12427287149656266
1544,64,74,138,0.22948717948717948
1548,175,29,204,0.14549880866052003
1553,169,39,208,0.17745249101181304
1554,66,97,163,0.222883295194508
1564,160,9,169,0.06506097099144134
1572,59,125,184,0.20929774450901212
1574,137,37,174,0.1690251572327044
1577,53,1,54,0.029350104821802937
1583,18,30,48,0.18487394957983194
1599,11,24,35,0.4276923076923077
1605,9,8,17,0.3111111111111111
1612,4,8,12,0.25
1621,13,82,95,0.17494730502860584
1641,5,15,20,0.24166666666666667
1651,25,29,54,0.18067632850241547
1672,38,46,84,0.159242191500256
1683,39,20,59,0.1773049645390071
1686,8,3,11,0.15555555555555556
1703,4,43,47,0.11627906976744186
1711,8,2,10,0.10714285714285714
1720,18,12,30,0.245014245014245
1759,156,17,173,0.0999172870140612
1764,81,29,110,0.11849020544672718
1765,42,15,57,0.14370748299319727
1772,11,19,30,0.2751322751322751
1774,73,23,96,0.07416267942583732
1785,32,43,75,0.12825166364186327
1790,32,12,44,0.18699186991869918
1793,143,13,156,0.06896247240618102
1805,59,60,119,0.09810211173483026
1811,7,12,19,0.13071895424836602
1814,9,10,19,0.058823529411764705
1818,9,1,10,0.1111111111111111
1834,134,5,139,0.05426848619485877
1837,133,20,153,0.08625068021041175
1842,11,19,30,0.39666666666666667
1852,381,14,395,0.08749456048738033
1854,25,9,34,0.030107526881720432
1856,16,10,26,0.0935672514619883
1858,208,1,209,0.05184946632315053
1872,11,56,67,0.22807017543859648
1875,6,24,30,0.16809116809116809
1877,26,15,41,0.12605042016806722
1880,250,25,275,0.1458639705882353
1881,193,52,245,0.13656330749354006
1882,42,16,58,0.14745098039215687
1884,56,117,173,0.18750923872875092
1896,200,27,227,0.106244616709733
1904,2,13,15,0.26373626373626374
1918,19,25,44,0.27177177177177175
1928,34,36,70,0.3020408163265306
1941,202,148,350,0.10999060444722832
1945,62,31,93,0.2267884322678843
1946,31,157,188,0.20510490040142393
1952,51,73,124,0.299009900990099
1959,163,21,184,0.14667594848590323
1960,29,37,66,0.2185374149659864
1961,79,30,109,0.04694132334581773
1966,30,29,59,0.2429078014184397
1967,10,68,78,0.22939958592132506
1969,54,27,81,0.12491228070175439
1970,17,26,43,0.3816091954022989
1971,421,58,479,0.08911090636876655
1980,61,124,185,0.1901900915985423
1981,8,43,51,0.19241443108233117
1982,184,107,291,0.1317855923523387
1984,150,286,436,0.1767770293644818
1988,735,216,951,0.06118717440751339
1997,29,118,147,0.18665213178294573
1999,110,46,156,0.1327334083239595
2003,68,35,103,0.1677154582763338
2010,65,38,103,0.1884576098059244
2011,24,50,74,0.1682983682983683
2018,2,1,3,1.0
2024,56,40,96,0.2249122807017544
2029,4,8,12,0.42857142857142855
2031,4,9,13,0.2909090909090909
2033,9,87,96,0.17110762800417972
2035,44,113,157,0.2354668232530828
2036,5,5,10,0.2857142857142857
2037,5,12,17,0.2692307692307692
2040,34,37,71,0.18688524590163935
2042,120,13,133,0.04349456317960255
2045,261,67,328,0.11926792069140824
2048,124,95,219,0.21127430980552156
2050,24,10,34,0.15913978494623657
2052,7,6,13,0.2222222222222222
2055,350,9,359,0.05668941540046356
2058,3,45,48,0.18585858585858586
2060,57,16,73,0.2612374405076679
2071,186,33,219,0.11234817813765183
2077,48,73,121,0.19964061096136568
2085,62,3,65,0.16923076923076924
2127,31,10,41,0.12944523470839261
2138,545,98,643,0.09383276813782519
2139,27,18,45,0.31016042780748665
2140,52,12,64,0.13265993265993267
2144,57,35,92,0.23363095238095238
2153,420,52,472,0.12844036697247707
2156,167,4,171,0.0896777872825777
2157,154,166,320,0.17129422301836095
2158,7,5,12,0.35555555555555557
2160,212,87,299,0.19452900041135335
2161,402,7,409,0.1202424601557967
2164,297,12,309,0.13099219620958752
2165,60,48,108,0.3082063619353114
2166,253,151,404,0.17868745938921377
2168,26,24,50,0.32388663967611336
2172,26,102,128,0.2122596611460118
2177,163,26,189,0.19073847409220726
2179,508,35,543,0.09857506361323155
2182,91,33,124,0.3223797250859107
2185,184,31,215,0.15086342229199373
2186,6,20,26,0.1645021645021645
2187,78,43,121,0.2620274914089347
2193,72,22,94,0.11044303797468355
2194,185,39,224,0.17428826040054407
2198,6,16,22,0.19117647058823528
2199,110,21,131,0.059684195277415614
2218,39,40,79,0.2422077922077922
2228,8,63,71,0.1691468253968254
2232,9,4,13,0.2878787878787879
2233,15,5,20,0.24761904761904763
2239,15,31,46,0.20161290322580644
2241,16,11,27,0.38333333333333336
2243,40,142,182,0.17613531899246185
2244,254,2,256,0.04375836419657029
2249,66,81,147,0.25446224256292904
2255,38,35,73,0.22928009679370842
2256,24,37,61,0.3515263644773358
2266,157,77,234,0.1755303690787562
2271,42,60,102,0.4057971014492754
2272,4,25,29,0.15
2274,55,106,161,0.20129678750368404
2277,78,21,99,0.283197139938713
2278,127,88,215,0.18595199754620045
2285,26,8,34,0.15343915343915343
2286,56,4,60,0.21566335476329632
2288,169,27,196,0.1684758458706278
2290,16,13,29,0.24615384615384617
2299,17,30,47,0.21337126600284495
2306,10,27,37,0.2045977011494253
2314,37,32,69,0.22714078374455732
2316,5,23,28,0.2535612535612536
2342,69,36,105,0.07709750566893424
2343,11,14,25,0.4485294117647059
2347,148,8,156,0.03143487858719647
2349,11,17,28,0.10256410256410256
2350,44,19,63,0.1624780829924021
2351,15,4,19,0.37254901960784315
2353,167,9,176,0.07894736842105263
2357,44,1,45,0.15353535353535352
2360,71,0,71,0.1818913480885312
2361,76,49,125,0.2637482900136799
2368,58,1,59,0.2250146113383986
2370,44,39,83,0.3270440251572327
2372,74,57,131,0.21055651176133103
2373,46,54,100,0.22339593114241002
2376,48,53,101,0.3602693602693603
2383,44,72,116,0.29836829836829837
2397,81,1,82,0.10328214393255043
2399,52,31,83,0.34316939890710385
2402,23,52,75,0.17119155354449472
2404,40,28,68,0.3426829268292683
2406,32,39,71,0.1865671641791045
2416,68,45,113,0.18223443223443223
2417,654,148,802,0.0677433826828174
2420,112,30,142,0.09371697005284792
2426,29,121,150,0.19251612903225807
2427,40,24,64,0.1510204081632653
2428,47,3,50,0.10204081632653061
2450,260,74,334,0.1654943596549436
2456,47,3,50,0.29931972789115646
2462,32,16,48,0.10256410256410256
2469,31,58,89,0.23403263403263402
2474,35,37,72,0.18316373728029603
2487,61,25,86,0.05886075949367089
2490,38,21,59,0.19556025369978858
2515,281,36,317,0.048707798707798705
2518,32,19,51,0.1987179487179487
2538,5,26,31,0.1476923076923077
2543,50,12,62,0.13847117794486216
2553,72,140,212,0.2691263487643578
2556,28,54,82,0.21453529000698812
2567,52,22,74,0.10230179028132992
2568,64,9,73,0.0875
2572,84,60,144,0.14227035100821508
2629,10,14,24,0.3
2633,30,26,56,0.20243902439024392
2634,181,1,182,0.09680785758133824
2647,27,38,65,0.16430976430976432
2656,66,80,146,0.2243801652892562
2662,335,11,346,0.06952975880617734
2665,46,28,74,0.24107744107744108
2668,122,9,131,0.12100290697674419
2669,29,24,53,0.2964705882352941
2670,430,47,477,0.08841554920850075
2679,21,28,49,0.22537878787878787
2680,104,48,152,0.17192234317136124
2687,107,65,172,0.14701614366043897
2689,120,26,146,0.1878419452887538
2690,88,8,96,0.08007320979180965
2692,108,89,197,0.21819376026272577
2694,87,4,91,0.19096133751306166
2695,71,16,87,0.18398072869617585
2697,226,14,240,0.0932806324110672
2698,47,7,54,0.3010204081632653
2700,165,49,214,0.1928140703517588
2703,48,32,80,0.1441891441891442
2739,73,27,100,0.23417721518987342
2753,353,74,427,0.16263296035364
2760,58,127,185,0.2313199105145414
2765,346,122,468,0.13018499783205664
2780,78,25,103,0.07941777323799795
2785,77,54,131,0.18427518427518427
2786,67,114,181,0.22120045623039636
2799,38,5,43,0.09957325746799431
2939,45,8,53,0.06938020351526364
2940,20,6,26,0.14492753623188406
2941,35,2,37,0.11596638655462185
2971,3,4,7,0.4666666666666667
2974,9,8,17,0.20833333333333334
2989,47,32,79,0.1334115805946792
2992,94,63,157,0.16993202718912434
2994,94,11,105,0.1310425160163075
3003,89,45,134,0.21643564356435643
3011,106,60,166,0.14005439005439005
3024,122,52,174,0.2166984625743463
3027,8,60,68,0.1746031746031746
3040,31,31,62,0.4366998577524893
3043,16,26,42,0.21182266009852216
3047,12,30,42,0.16358463726884778
3057,42,61,103,0.2464864864864865
3065,49,56,105,0.23591549295774647
3069,18,58,76,0.21584699453551912
3094,41,33,74,0.16540035067212155
3119,6,47,53,0.16003700277520813
3139,10,10,20,0.17647058823529413
3140,8,14,22,0.3202614379084967
3158,184,1,185,0.027967097532314925
3176,31,8,39,0.07575757575757576
3185,27,57,84,0.19863597612958228
3188,223,28,251,0.05506135508596744
3190,32,31,63,0.21746880570409982
3192,9,31,40,0.38095238095238093
3193,102,43,145,0.12338935574229692
3197,133,54,187,0.158256291730868
3199,88,49,137,0.2037280701754386
3200,9,22,31,0.3507692307692308
3202,93,29,122,0.1654986522911051
3205,31,24,55,0.4846153846153846
3208,49,26,75,0.23222060957910015
3211,42,1,43,0.2513842746400886
3215,26,13,39,0.20265151515151514
3216,45,33,78,0.3297035692679976
3226,50,36,86,0.23495495495495494
3228,59,62,121,0.2750837594780462
3235,5,3,8,0.35714285714285715
3264,90,26,116,0.16228070175438597
3268,24,14,38,0.32873563218390806
3273,26,206,232,0.14992025518341306
3279,12,61,73,0.18028846153846154
3280,51,16,67,0.2675832892649392
3281,2,68,70,0.18925831202046037
3282,54,42,96,0.09181784524250278
3284,12,50,62,0.1741654571843251
3298,133,1,134,0.02457636628885647
3300,45,76,121,0.19649122807017544
3311,76,32,108,0.23976023976023977
3322,32,32,64,0.2895467160037003
3324,25,52,77,0.13825136612021857
3331,10,34,44,0.23529411764705882
3334,67,26,93,0.056314699792960665
3336,99,69,168,0.16825396825396827
3337,4,18,22,0.2549019607843137
3340,10,37,47,0.2012820512820513
3348,5,4,9,0.21428571428571427
3350,21,16,37,0.2561576354679803
3353,10,4,14,0.23636363636363636
3356,12,31,43,0.2318548387096774
3360,133,46,179,0.17454735897052223
3368,27,52,79,0.18627450980392157
3369,78,44,122,0.0978120978120978
3372,62,45,107,0.22969187675070027
3374,226,61,287,0.13765545202916066
3375,5,67,72,0.2550482879719052
3378,19,51,70,0.2786885245901639
3379,42,9,51,0.08880666049953746
3380,26,35,61,0.24326530612244898
3393,291,31,322,0.0895962480555362
3394,19,34,53,0.2329268292682927
3397,5,6,11,0.21818181818181817
3398,52,2,54,0.12772133526850507
3410,61,20,81,0.1466198419666374
3413,56,10,66,0.05868118572292801
3419,431,6,437,0.06887776922418955
3422,12,35,47,0.38264580369843526
3440,202,78,280,0.13180653427290198
3457,43,24,67,0.2740740740740741
3459,20,55,75,0.2359208523592085
3469,50,68,118,0.16547497446373852
3471,87,39,126,0.1659871869539895
3472,64,15,79,0.17819990954319312
3477,25,33,58,0.22693602693602694
3484,11,0,11,0.18181818181818182
3492,12,28,40,0.09788359788359788
3497,6,10,16,0.21794871794871795
3506,43,46,89,0.22350877192982457
3510,12,21,33,0.2172043010752688
3536,31,59,90,0.19615384615384615
3541,5,35,40,0.25177809388335703
3549,546,49,595,0.0686666280573734
3556,14,10,24,0.13071895424836602
3583,6,30,36,0.25946969696969696
3586,20,43,63,0.3271276595744681
3595,131,89,220,0.16504559270516717
3603,203,189,392,0.2120146678170837
3604,157,25,182,0.21457244565629024
3606,74,108,182,0.24606971975393027
3609,177,72,249,0.12349145362297424
3619,12,13,25,0.2
3626,95,39,134,0.39291833238149626
3641,23,22,45,0.4650793650793651
3647,88,21,109,0.18977487902377446
3714,6,16,22,0.26666666666666666
3719,34,21,55,0.1758454106280193
3726,91,7,98,0.19050958391771855
3738,6,10,16,0.2878787878787879
3740,8,12,20,0.30303030303030304
3742,7,6,13,0.41818181818181815
3746,23,7,30,0.17753623188405798
3755,63,58,121,0.2599250936329588
3771,5,4,9,0.42857142857142855
3783,38,15,53,0.16767676767676767
3784,5,31,36,0.32661290322580644
3799,8,6,14,0.21818181818181817
3802,108,2,110,0.03271028037383177
3804,22,13,35,0.15913978494623657
3808,38,64,102,0.17928858290304073
3809,6,2,8,0.38095238095238093
3810,60,86,146,0.18412698412698414
3847,229,50,279,0.09596105301117923
3870,4,16,20,0.16842105263157894
3879,14,75,89,0.16302118933697882
3886,1,7,8,0.23809523809523808
3929,5,20,25,0.22380952380952382
3950,18,4,22,0.12105263157894737
3954,2,9,11,0.4727272727272727
3962,9,22,31,0.41595441595441596
3963,41,145,186,0.16649466804265567
3968,30,21,51,0.3258258258258258
3983,30,16,46,0.2798573975044563
3990,14,14,28,0.291005291005291
3998,67,4,71,0.24920850293984623
3999,38,2,40,0.30014224751066854
4014,80,74,154,0.21815903394850764
4036,11,37,48,0.1329268292682927
4052,5,9,14,0.16363636363636364
4061,39,43,82,0.24061510628674807
4076,62,1,63,0.043010752688172046
4118,132,33,165,0.10085253038273173
4120,96,27,123,0.22113022113022113
4122,99,81,180,0.18281631230393866
4123,61,71,132,0.1619427431989745
4134,76,8,84,0.12654012654012653
4138,12,15,27,0.14761904761904762
4143,34,7,41,0.2897897897897898
4161,18,23,41,0.17424242424242425
4166,9,23,32,0.21014492753623187
4168,8,12,20,0.16666666666666666
4176,6,10,16,0.3090909090909091
4179,5,5,10,0.6
